code_1,code_3,code_7,code_8,code_10,code_11,code_12,code_13,code_14,code_15,code_16,code_17,code_18,code_19,code_20
375.1027292394439,1793.964456094273,1146.6460542146694,1598.5280255218856,-250.91980940000005,-596.3798750000001,-257.1782385250001,-459.5472906820935,-28.06738591758146,-41.6612873859878,-512.3527658145001,-778.2894276596564,-583.9526647233047,-4232.970593610139,0
378.33299068400436,1437.4884425411815,1051.8334774646178,230.26122467952507,-107.89774580000002,-824.8235125000002,-318.43694236250013,-281.37461555694455,-135.50768818738229,-36.45362646273932,-243.45310717000007,-478.6994931069114,-481.30301616765394,-3780.56772897394,0
319.23278597022704,891.2120201699656,340.31315616597703,647.2119992346917,-101.26088342500003,-450.32648375,-408.50298482500006,-387.20740993331833,-33.02045402068408,-119.03224967425083,-366.21580695480156,-431.7723859887595,-270.6302555912029,-4293.988356490273,0
330.7132719283687,2348.6098769036084,718.5488861625648,1125.860761560178,-184.19845730000003,-570.2355750000002,-785.0626332250002,-478.03712086665047,-187.06087202717532,-132.25805519361205,-170.27896834000006,-1082.0495992715373,-738.3647800935578,-2325.9594338599254,0
480.61967827548574,2789.1345672870025,1560.8252039329702,1032.1693459134854,-361.39804155000013,-546.8292862500001,-546.2234128000001,-617.8458808069809,-485.8134297793144,-27.77419159065853,-301.51621154148006,-912.6330492546388,-982.1377487571978,-3223.7013764095977,0
436.6152254915884,2504.9805335728174,840.4800017040105,1275.9574930349654,-207.02075850000003,-747.1371700000001,-446.41699830000016,-180.8988619247241,-48.54006741040559,-271.12901314690475,-291.118118938546,-1008.5866571984791,-303.8189070364501,-3256.6602923544197,-72.37570822072503
376.69496621752614,2055.3287142914573,2305.5455750244882,1463.8147829448653,-320.78926350000006,-930.9707225000002,-538.6765255625002,-371.8802398773669,-33.570794921028806,0,-162.98260056827763,-697.3645338986105,-252.73968468155235,-2741.362076969396,0
651.9671622296376,2056.768302932441,1521.4566506997455,843.3278709015991,-481.76194982500004,-620.4818100000001,-571.6612674500001,-180.49410262278698,-28.645243862943435,-280.3870770104575,-399.2322871087149,-665.7902602153592,-145.44070890069506,-2540.391682306398,0
433.7700103532401,2695.4340991577565,1420.4493085991853,447.5917900587251,-239.39116175,-616.3102562500001,-680.7271581500002,-245.78866767476956,-301.1878162361646,-34.38709435033913,-712.636883438084,-830.0248388265431,-901.9831765816525,-3109.4740042227004,0
371.684159535559,2357.944825592909,376.4804828899975,1023.9664875500127,-189.20163047500003,-664.8842362500001,-700.1204341625001,-293.48757943871794,-502.76392950993227,-131.9439423125272,-353.0676975215001,-1215.0582697604787,-610.3838897572103,-4623.76088921522,0
