ShanghaiOpen,ShanghaiHigh,ShanghaiLow,ShanghaiClose
1022.86,1022.86,1022.86,1022.86
1017.52,1017.52,1017.52,1017.52
958.94,958.94,958.94,958.94
976.71,976.71,976.71,976.71
930.79,930.79,930.79,930.79
945.12,945.12,945.12,945.12
928.03,928.03,928.03,928.03
915.05,915.05,915.05,915.05
928.14,928.14,928.14,928.14
919.67,919.67,919.67,919.67
933.97,933.97,933.97,933.97
943.0,943.0,943.0,943.0
940.52,940.52,940.52,940.52
953.19,953.19,953.19,953.19
950.83,950.83,950.83,950.83
1004.69,1004.69,1004.69,1004.69
1015.96,1015.96,1015.96,1015.96
1014.92,1014.92,1014.92,1014.92
940.77,940.77,940.77,940.77
951.83,951.83,951.83,951.83
976.55,976.55,976.55,976.55
967.59,967.59,967.59,967.59
980.38,980.38,980.38,980.38
1134.52,1134.52,1134.52,1134.52
1122.99,1122.99,1122.99,1122.99
1169.92,1169.92,1169.92,1169.92
1212.08,1212.08,1212.08,1212.08
1212.89,1212.89,1212.89,1212.89
1247.66,1247.66,1247.66,1247.66
1230.25,1230.25,1230.25,1230.25
1244.9,1244.9,1244.9,1244.9
1177.14,1177.14,1177.14,1177.14
1110.04,1110.04,1110.04,1110.04
1000.02,1000.02,1000.02,1000.02
905.58,905.58,905.58,905.58
972.73,972.73,972.73,972.73
902.42,902.42,902.42,902.42
885.24,885.24,885.24,885.24
902.01,902.01,902.01,902.01
865.58,865.58,865.58,865.58
924.24,924.24,924.24,924.24
922.35,922.35,922.35,922.35
934.21,934.21,934.21,934.21
917.02,917.02,917.02,917.02
919.44,919.44,919.44,919.44
899.61,899.61,899.61,899.61
876.5,876.5,876.5,876.5
898.17,898.17,898.17,898.17
896.41,896.41,896.41,896.41
906.98,906.98,906.98,906.98
918.4,918.4,918.4,918.4
929.52,929.52,929.52,929.52
907.85,907.85,907.85,907.85
916.72,916.72,916.72,916.72
915.01,915.01,915.01,915.01
919.85,919.85,919.85,919.85
933.28,933.28,933.28,933.28
929.11,929.11,929.11,929.11
942.44,942.44,942.44,942.44
945.8,945.8,945.8,945.8
953.92,953.92,953.92,953.92
959.06,959.06,959.06,959.06
956.31,956.31,956.31,956.31
962.1,962.1,962.1,962.1
960.17,960.17,960.17,960.17
964.74,964.74,964.74,964.74
894.85,894.85,894.85,894.85
962.69,962.69,962.69,962.69
965.08,965.08,965.08,965.08
1017.13,1017.13,1017.13,1017.13
1009.56,1009.56,1009.56,1009.56
1017.96,1017.96,1017.96,1017.96
1031.51,1031.51,1031.51,1031.51
1025.3,1025.3,1025.3,1025.3
1040.27,1040.27,1040.27,1040.27
1063.05,1063.05,1063.05,1063.05
1068.16,1068.16,1068.16,1068.16
1052.15,1052.15,1052.15,1052.15
1079.13,1079.13,1079.13,1079.13
1077.72,1077.72,1077.72,1077.72
1099.68,1099.68,1099.68,1099.68
1109.73,1109.73,1109.73,1109.73
1126.16,1126.16,1126.16,1126.16
1117.28,1117.28,1117.28,1117.28
1125.8,1125.8,1125.8,1125.8
1162.63,1162.63,1162.63,1162.63
1161.27,1161.27,1161.27,1161.27
1120.72,1120.72,1120.72,1120.72
1167.17,1167.17,1167.17,1167.17
1191.73,1191.73,1191.73,1191.73
1197.84,1197.84,1197.84,1197.84
1215.31,1215.31,1215.31,1215.31
1214.26,1214.26,1214.26,1214.26
1234.62,1234.62,1234.62,1234.62
1241.03,1241.03,1241.03,1241.03
1233.85,1233.85,1233.85,1233.85
1246.03,1246.03,1246.03,1246.03
1260.96,1260.96,1260.96,1260.96
1276.41,1276.41,1276.41,1276.41
1247.26,1247.26,1247.26,1247.26
1286.85,1286.85,1286.85,1286.85
1281.89,1281.89,1281.89,1281.89
1278.53,1278.53,1278.53,1278.53
1316.92,1316.92,1316.92,1316.92
1324.96,1324.96,1324.96,1324.96
1327.78,1327.78,1327.78,1327.78
1323.37,1323.37,1323.37,1323.37
1338.03,1338.03,1338.03,1338.03
1362.08,1362.08,1362.08,1362.08
1365.5,1365.5,1365.5,1365.5
1378.84,1378.84,1378.84,1378.84
1380.28,1380.28,1380.28,1380.28
1364.98,1364.98,1364.98,1364.98
1352.0,1352.0,1352.0,1352.0
1376.77,1376.77,1376.77,1376.77
1393.75,1393.75,1393.75,1393.75
1448.93,1448.93,1448.93,1448.93
1482.99,1482.99,1482.99,1482.99
1495.46,1495.46,1495.46,1495.46
1405.18,1405.18,1405.18,1405.18
1467.23,1467.23,1467.23,1467.23
1500.4,1500.4,1500.4,1500.4
1464.28,1464.28,1464.28,1464.28
1379.22,1379.22,1379.22,1379.22
1417.67,1417.67,1417.67,1417.67
1315.92,1315.92,1315.92,1315.92
1344.61,1344.61,1344.61,1344.61
1381.12,1381.12,1381.12,1381.12
1354.88,1354.88,1354.88,1354.88
1235.22,1235.22,1235.22,1235.22
1254.27,1254.27,1254.27,1254.27
1281.74,1281.74,1281.74,1281.74
1270.35,1270.35,1270.35,1270.35
1263.35,1263.35,1263.35,1263.35
1285.18,1285.18,1285.18,1285.18
1336.28,1336.28,1336.28,1336.28
1338.76,1338.76,1338.76,1338.76
1361.19,1361.19,1361.19,1361.19
1360.23,1360.23,1360.23,1360.23
1241.74,1241.74,1241.74,1241.74
1220.4,1220.4,1220.4,1220.4
1243.98,1243.98,1243.98,1243.98
1261.47,1261.47,1261.47,1261.47
1245.93,1245.93,1245.93,1245.93
1232.68,1232.68,1232.68,1232.68
1230.74,1230.74,1230.74,1230.74
1291.2,1291.2,1291.2,1291.2
1283.5,1283.5,1283.5,1283.5
1297.59,1297.59,1297.59,1297.59
1284.46,1284.46,1284.46,1284.46
1250.27,1250.27,1250.27,1250.27
1255.91,1261.57,1147.33,1199.06
1194.68,1194.68,1149.94,1150.62
1161.71,1163.45,1085.57,1096.82
1092.8,1115.43,1066.04,1109.67
1113.64,1122.67,1104.09,1120.84
1121.26,1137.87,1115.21,1120.15
1116.41,1155.06,1114.4,1154.79
1189.47,1201.21,1180.19,1200.11
1201.6,1204.86,1184.44,1190.83
1188.27,1203.5,1180.93,1197.23
1199.4,1210.44,1191.29,1209.86
1215.84,1218.48,1188.88,1193.53
1189.12,1208.26,1163.47,1208.25
1219.06,1223.82,1194.7,1198.86
1194.7,1200.31,1172.37,1174.22
1166.57,1177.65,1158.14,1170.86
1167.81,1167.88,1138.47,1141.78
1137.32,1161.19,1133.17,1153.23
1157.09,1179.48,1157.0,1179.42
1184.94,1192.2,1179.71,1189.76
1191.65,1194.03,1182.22,1192.83
1196.25,1201.92,1188.68,1200.33
1203.36,1207.23,1193.7,1196.27
1196.04,1197.44,1170.27,1171.94
1167.93,1199.24,1161.63,1199.24
1205.95,1216.56,1201.36,1206.05
1206.46,1206.76,1182.45,1184.08
1177.26,1183.44,1145.75,1146.81
1139.25,1153.49,1118.2,1120.13
1120.47,1168.34,1120.24,1168.11
1174.18,1174.88,1133.89,1143.06
1139.61,1139.61,1116.15,1134.63
1134.62,1143.2,1128.11,1132.9
1135.05,1144.65,1133.74,1144.64
1148.39,1165.22,1147.82,1164.55
1175.44,1184.33,1175.38,1184.1
1186.07,1194.13,1181.24,1194.04
1195.43,1199.47,1188.33,1198.51
1201.06,1216.08,1194.67,1213.89
1214.31,1223.07,1209.48,1221.06
1228.47,1232.69,1215.92,1226.3
1223.62,1243.33,1223.46,1240.82
1245.78,1253.15,1245.64,1251.3
1250.6,1253.35,1241.22,1251.55
1253.14,1257.55,1245.74,1255.23
1255.18,1257.93,1230.44,1231.03
1230.43,1256.04,1227.64,1256.04
1260.52,1264.49,1236.11,1242.71
1240.5,1247.91,1207.83,1208.7
1205.9,1211.68,1175.95,1179.29
1182.76,1193.85,1181.17,1187.22
1188.88,1191.3,1162.24,1167.56
1169.67,1181.75,1164.64,1172.37
1174.77,1185.09,1168.87,1184.52
1184.49,1185.1,1102.62,1103.97
1096.19,1105.28,1055.19,1055.19
1064.66,1110.11,1064.66,1110.01
1118.37,1130.13,1106.25,1117.01
1118.69,1118.94,1094.42,1109.63
1106.34,1106.34,1079.34,1084.07
1083.41,1100.39,1083.23,1097.38
1100.7,1105.41,1091.15,1098.9
1098.29,1102.71,1087.02,1102.57
1122.97,1140.94,1116.71,1134.87
1134.59,1138.66,1120.09,1122.47
1121.34,1131.57,1120.51,1130.79
1136.43,1138.4,1117.39,1119.82
1116.3,1118.02,1105.7,1117.93
1119.11,1129.65,1116.43,1125.78
1131.4,1151.39,1131.39,1150.31
1155.42,1180.22,1153.9,1176.49
1183.74,1191.04,1173.56,1187.37
1190.49,1192.34,1179.57,1191.87
1193.7,1203.02,1168.48,1177.52
1178.98,1186.07,1170.23,1173.36
1172.88,1179.81,1164.06,1178.31
1183.65,1235.83,1183.65,1235.83
1239.59,1241.83,1172.89,1177.92
1168.22,1194.09,1162.98,1194.09
1189.27,1207.97,1173.65,1174.85
1164.91,1181.51,1158.74,1180.39
1181.16,1185.07,1176.55,1180.85
1180.87,1190.47,1180.87,1184.7
1186.1,1194.67,1179.35,1194.04
1198.66,1203.09,1179.58,1181.12
1181.78,1195.74,1177.63,1195.14
1199.37,1202.58,1178.63,1185.78
1183.42,1187.74,1168.48,1186.63
1190.01,1193.53,1171.29,1185.02
1169.7,1185.28,1157.29,1185.02
1187.35,1208.84,1181.69,1197.83
1210.68,1213.23,1190.43,1191.33
1190.26,1193.31,1182.61,1183.35
1185.1,1191.96,1175.78,1181.63
1182.74,1189.49,1169.1,1172.43
1168.97,1169.11,1152.01,1158.56
1150.42,1150.56,1122.93,1124.94
1120.86,1131.13,1114.14,1125.53
1126.6,1143.82,1124.48,1143.82
1137.59,1139.29,1130.45,1133.09
1133.59,1139.6,1128.5,1130.17
1129.78,1130.32,1121.59,1122.55
1121.8,1137.01,1119.2,1135.87
1139.48,1144.22,1134.93,1136.2
1140.55,1143.08,1136.58,1139.32
1139.81,1148.17,1137.32,1148.17
1150.48,1158.99,1149.83,1157.84
1159.05,1159.75,1145.55,1159.17
1160.22,1165.81,1153.43,1153.84
1155.72,1168.06,1155.6,1168.03
1170.46,1174.81,1165.6,1174.8
1169.64,1169.74,1145.89,1146.52
1142.1,1159.11,1138.4,1154.17
1154.7,1161.88,1151.14,1160.77
1162.68,1169.03,1153.44,1169.01
1171.9,1176.92,1165.06,1171.25
1171.73,1173.54,1164.86,1169.66
1187.75,1194.24,1186.53,1191.92
1196.3,1198.97,1185.66,1186.61
1186.14,1193.62,1179.56,1181.14
1182.25,1195.05,1182.25,1194.1
1200.95,1220.49,1200.22,1220.47
1223.73,1233.63,1215.41,1233.62
1233.96,1244.1,1231.15,1244.07
1243.12,1250.01,1235.88,1237.16
1233.7,1245.0,1221.3,1239.9
1242.21,1246.65,1226.4,1226.97
1211.88,1211.88,1110.09,1167.65
1170.35,1203.25,1170.32,1202.21
1210.42,1217.86,1196.15,1215.43
1215.82,1220.97,1207.92,1213.96
1211.28,1215.57,1195.38,1203.71
1201.99,1209.69,1198.23,1200.2
1200.52,1207.45,1194.38,1204.43
1206.49,1224.12,1206.45,1222.91
1257.99,1262.62,1244.43,1248.04
1248.6,1248.6,1233.7,1236.51
1234.18,1251.45,1233.53,1250.24
1253.38,1254.41,1242.0,1246.3
1246.73,1251.91,1241.82,1245.91
1234.84,1240.58,1228.11,1238.5
1239.63,1240.18,1225.5,1229.83
1229.81,1235.49,1223.93,1232.58
1234.6,1237.91,1224.58,1226.02
1217.86,1217.86,1195.89,1208.6
1206.92,1216.35,1206.09,1208.22
