MCSFOpen,MCSFHigh,MCSFLow,MCSFClose,MCSFVolume
5.5308,5.6441,5.4985,5.6366,92612089.0
5.6528,5.693,5.5878,5.6769,105532670.0
5.6441,5.7256,5.6283,5.693,74733064.0
5.6769,5.7093,5.6366,5.6610000000000005,60899961.0
5.6528,5.7337,5.6366,5.693,90960740.0
5.6851,5.7256,5.6124,5.6202,99648482.0
5.6366,5.693,5.6283,5.6769,71507324.0
5.6769,5.7177,5.6528,5.693,48865537.0
5.693,5.693,5.6283,5.6528,65414247.0
5.6366,5.6441,5.5636,5.6202,59274996.0
5.6283,5.6441,5.6036,5.6124,35289695.0
5.5714,5.6202,5.539,5.6202,67815415.0
5.6441,5.693,5.6202,5.6851,69040189.0
5.6769,5.6851,5.6036,5.6036,60477777.0
5.6124,5.6283,5.5797,5.5878,43900481.0
5.5961,5.6769,5.5961,5.6769,38533035.0
5.6851,5.7177,5.6769,5.7093,44074191.0
5.693,5.693,5.6202,5.6441,46976701.0
5.6528,5.6528,5.5714,5.5714,38601199.0
5.5472,5.6124,5.4823,5.6124,66687391.0
5.6124,5.6202,5.5878,5.6124,37279679.0
5.5797,5.5797,5.5232,5.5232,55484134.0
5.5472,5.5797,5.5308,5.5714,57612648.0
5.5714,5.6851,5.5636,5.6769,57372966.0
5.6769,5.693,5.6202,5.6528,53465574.0
5.6366,5.7093,5.6202,5.693,50006750.0
5.7093,5.8879,5.693,5.8473,131855360.0
5.8958,5.9772,5.8634,5.961,110132704.0
5.961,6.0581,5.961,5.9772,85769203.0
6.0421,6.122999999999999,6.0177,6.0905,103929689.0
6.0905,6.2689,6.0581,6.2041,118257535.0
6.2041,6.2852,6.1716,6.2608,104325485.0
6.2284,6.3017,6.1798,6.2852,144094287.0
6.2608,6.2852,6.1961,6.2608,63747499.0
6.2529,6.2931,6.1879,6.2284,99663880.0
6.2529,6.2689,6.1555,6.1716,60561332.0
6.1716,6.1879,5.9931,6.0014,127266321.0
