Date,Open,High,Low,Close,Volume
2014-12-12,42.049,42.996,42.041,42.293,38019434
2014-12-15,42.516,42.94,41.931,42.041,32468209
2014-12-16,41.345,41.743,40.653,40.682,53025222
2014-12-17,40.581,41.382,40.446,41.204,38820110
2014-12-18,41.96,42.806,41.743,42.806,44515558
2014-12-19,42.888,43.33,42.492,42.93,71657640
2014-12-22,43.041,43.347,42.978,43.22,29490481
2014-12-23,43.571,43.961,43.357,43.644,26260456
2014-12-24,43.816,43.816,43.31,43.365,12702747
2014-12-26,43.608,43.608,43.078,43.132,14650975
2014-12-29,42.968,43.041,42.572,42.743,16029441
2014-12-30,42.734,42.897,42.197,42.357,18188352
2014-12-31,42.094,42.734,41.844,41.844,23925234
2015-01-02,42.032,42.716,41.923,42.122,30981756
2015-01-05,41.77,42.094,41.662,41.735,44040162
2015-01-06,41.779,42.113,41.025,41.12,40457908
2015-01-07,41.419,41.854,40.979,41.645,32319589
2015-01-08,42.113,43.014,42.085,42.871,32907434
2015-01-09,42.888,43.078,42.247,42.509,26580656
2015-01-12,42.716,42.826,41.76,41.978,26255291
2015-01-13,42.311,43.155,41.493,41.75,39147809
2015-01-14,41.4,41.655,41.095,41.4,32988513
2015-01-15,41.635,41.779,40.906,40.97,36352160
2015-01-16,40.817,41.69,40.691,41.655,39624783
2015-01-20,41.708,42.023,41.051,41.789,31268468
2015-01-21,41.382,41.564,40.97,41.365,42404197
2015-01-22,41.879,42.46,41.511,42.456,34477138
2015-01-23,42.663,42.688,42.159,42.5,25734298
2015-01-26,42.34,42.456,41.655,42.348,46977499
2015-01-27,38.691,38.914,37.926,38.427,187777747
2015-01-28,38.502,38.548,37.078,37.104,97777685
2015-01-29,36.869,37.943,36.743,37.842,70580526
2015-01-30,37.429,37.455,36.347,36.394,86586332
2015-02-02,36.563,37.267,36.239,37.186,55890614
2015-02-03,37.501,37.773,36.969,37.474,57814072
2015-02-04,37.782,38.023,37.258,37.688,46194892
2015-02-05,38.031,38.41,37.698,38.24,40570442
2015-02-06,38.445,38.548,37.969,38.205,38427689
