DJIOpen,DJIHigh,DJILow,DJIClose,DJIVolume
4580.6,4629.9,4569.7,4601.4,57742105.0
4601.4,4632.4,4566.5,4594.0,60419549.0
4594.0,4625.4,4554.2,4608.4,70215789.0
4608.4,4639.8,4582.4,4604.6,74386466.0
4604.6,4634.5,4582.4,4610.6,67869925.0
4610.6,4672.2,4594.7,4647.5,57678947.0
4647.5,4697.9,4625.7,4670.1,75036090.0
4670.1,4716.2,4649.0,4683.8,83348120.0
4683.8,4710.6,4640.1,4669.7,72566165.0
4669.7,4722.9,4648.6,4700.7,71562406.0
4700.7,4744.0,4672.5,4704.9,66951880.0
4704.9,4762.4,4689.5,4747.2,77273684.0
4747.2,4801.1,4697.6,4765.5,86041353.0
4765.5,4830.3,4731.4,4801.8,86359398.0
4801.8,4839.5,4762.4,4797.6,103617299.0
4797.6,4814.0,4729.5,4780.4,74127068.0
4780.4,4798.1,4734.5,4767.0,83702256.0
4767.0,4828.5,4746.5,4792.7,90796241.0
4792.7,4820.2,4728.8,4767.4,82795489.0
4767.4,4789.4,4706.4,4764.2,83627820.0
4764.2,4804.6,4728.0,4769.9,61603759.0
4769.9,4816.5,4738.9,4765.6,81778195.0
4765.6,4790.2,4693.0,4762.4,92700000.0
4762.4,4810.0,4731.6,4787.6,82919549.0
4787.6,4835.0,4757.7,4789.1,76166165.0
4749.7,4787.3,4689.0,4740.7,76545113.0
4740.7,4794.9,4705.6,4762.7,82874436.0
4762.7,4805.7,4731.6,4769.2,70865414.0
4769.2,4781.1,4691.5,4726.2,62093233.0
4726.2,4745.7,4638.4,4720.8,93083459.0
4720.8,4773.9,4686.4,4735.3,77381955.0
4735.3,4790.2,4709.2,4764.9,77578195.0
4764.9,4845.1,4749.7,4793.8,84354135.0
4793.8,4823.0,4751.5,4784.4,67560902.0
4784.4,4831.4,4747.9,4796.0,79610526.0
4796.0,4837.5,4747.5,4777.5,92767669.0
4777.5,4830.3,4744.3,4802.5,91718797.0
4802.5,4836.4,4758.4,4794.9,87550376.0
4794.9,4805.7,4724.4,4755.5,74372932.0
4755.5,4819.1,4730.9,4783.7,93699248.0
4783.7,4824.5,4708.9,4753.7,97797744.0
4753.7,4777.9,4655.1,4703.8,104704505.0
4703.8,4766.7,4653.2,4741.8,85448120.0
4741.8,4798.8,4716.5,4756.6,71918797.0
4756.6,4822.0,4736.0,4755.5,85116541.0
4755.5,4801.7,4719.7,4766.7,85247368.0
4766.7,4833.2,4745.0,4808.6,89357143.0
4808.6,4858.8,4774.6,4825.6,77675188.0
4825.6,4862.8,4779.3,4814.0,69719549.0
4814.0,4839.3,4770.7,4797.0,82493233.0
4797.0,4877.6,4775.7,4852.7,81151128.0
4852.7,4902.5,4811.8,4864.2,85601504.0
4864.2,4896.0,4820.5,4870.4,67206767.0
4870.4,4909.8,4821.2,4872.9,65952632.0
4872.9,4923.1,4826.3,4871.8,79770677.0
4871.8,4939.7,4835.7,4922.8,84155639.0
4922.8,5003.7,4902.2,4969.4,94382707.0
4969.4,5022.1,4934.3,4990.0,96990226.0
4990.0,5030.8,4946.6,4983.1,75137594.0
4983.1,5050.3,4948.0,5023.6,91547368.0
5023.6,5096.2,4982.7,5041.6,91330827.0
5048.8,5114.2,5034.0,5070.9,80341353.0
5070.9,5105.6,5006.2,5078.1,92224060.0
5078.1,5126.5,5047.0,5105.6,89826316.0
5105.6,5143.1,5033.2,5074.5,99128571.0
5074.5,5133.0,5038.4,5087.1,88567669.0
5087.1,5157.6,5057.9,5139.5,91371429.0
5139.5,5216.8,5108.5,5177.5,97894737.0
5177.5,5234.5,5147.5,5199.1,94229323.0
5199.1,5211.1,5124.4,5159.4,85547368.0
5159.4,5200.2,5115.3,5156.9,73872180.0
5156.9,5225.5,5122.2,5184.3,77154135.0
5184.3,5226.2,5132.3,5174.9,78814286.0
5174.9,5246.1,5144.2,5216.5,93536842.0
5216.5,5266.7,5148.6,5182.2,104201504.0
5182.2,5217.6,5135.5,5176.7,143634586.0
5159.4,5159.4,5042.7,5075.2,96142105.0
5075.2,5146.0,5016.7,5109.9,4159398.0
5109.9,5173.5,5047.4,5059.3,98718045.0
5059.3,5135.9,5031.5,5096.5,93784962.0
5096.5,5146.7,5064.0,5098.0,65323308.0
5098.0,5149.3,5072.3,5110.3,48954135.0
5110.3,5146.7,5077.7,5105.9,56903008.0
5105.9,5132.7,5062.2,5095.8,65068421.0
5095.8,5144.6,5063.7,5117.1,72108271.0
5117.1,5208.2,5087.1,5177.5,82145865.0
5177.5,5252.6,5143.1,5194.1,105778189.0
5194.1,5259.5,5114.2,5173.8,115619549.0
5173.8,5217.6,5107.0,5181.4,98596241.0
5197.7,5239.2,5100.9,5130.1,94150376.0
5130.1,5151.7,5000.1,5032.9,112066911.0
5032.9,5099.8,5003.0,5065.1,92210526.0
5065.1,5114.2,5000.1,5061.1,86481203.0
5061.1,5099.4,5012.7,5043.8,69063158.0
5043.8,5116.0,5000.8,5088.2,95914286.0
5088.2,5133.4,5028.6,5066.9,103470677.0
5066.9,5167.0,5032.6,5124.4,101596247.0
5124.4,5214.7,5087.5,5184.7,112267669.0
5184.7,5254.8,5133.0,5219.4,89783459.0
5219.4,5241.8,5141.3,5192.3,94039850.0
5192.3,5297.0,5176.7,5242.8,107454135.0
5242.8,5289.5,5173.8,5216.8,102241347.0
5216.8,5293.8,5187.2,5271.8,87000000.0
5271.8,5338.2,5246.8,5305.0,81954135.0
5305.0,5409.8,5288.7,5381.2,104740595.0
5381.2,5433.2,5314.4,5395.3,106513540.0
5395.3,5438.3,5335.7,5405.1,104122562.0
5405.1,5443.0,5338.9,5374.0,94741353.0
5374.0,5434.0,5319.4,5407.6,85209023.0
5407.6,5483.8,5371.8,5459.6,105099248.0
5459.6,5520.3,5423.8,5492.1,104375194.0
5492.1,5559.7,5441.6,5539.5,107136096.0
